name,uid,code,parent,shortName,level,openingDate
rwandaCountry Country,rwandaCountry Country,rwandaCountry Country,Rwanda,rwandaCountry,1,01-01-00
East Province,East Province,East Province,rwandaCountry Country,East,2,01-01-00
Bugesera District,Bugesera District,Bugesera District,East Province,Bugesera,3,01-01-00
Gashora Sector,Gashora Sector,Gashora Sector,Bugesera District,Gashora,4,01-01-00
Biryogo Cell,Biryogo Cell,Biryogo Cell,Gashora Sector,Biryogo,5,01-01-00
Bidudu Village,Bidudu Village,Bidudu Village,Biryogo Cell,Bidudu,6,01-01-00
Biryogo Village,Biryogo Village,Biryogo Village,Biryogo Cell,Biryogo,6,01-01-00
Buhoro Village,Buhoro Village,Buhoro Village,Biryogo Cell,Buhoro,6,01-01-00
Gihanama Village,Gihanama Village,Gihanama Village,Biryogo Cell,Gihanama,6,01-01-00
Kagarama Village,Kagarama Village,Kagarama Village,Biryogo Cell,Kagarama,6,01-01-00
Kanyonyomba Village,Kanyonyomba Village,Kanyonyomba Village,Biryogo Cell,Kanyonyomba,6,01-01-00
Karutete Village,Karutete Village,Karutete Village,Biryogo Cell,Karutete,6,01-01-00
Kivugiza Village,Kivugiza Village,Kivugiza Village,Biryogo Cell,Kivugiza,6,01-01-00
Rugunga Village,Rugunga Village,Rugunga Village,Biryogo Cell,Rugunga,6,01-01-00
Kabuye Cell,Kabuye Cell,Kabuye Cell,Gashora Sector,Kabuye,5,01-01-00
Bidudu Village,Bidudu Village,Bidudu Village,Kabuye Cell,Bidudu,6,01-01-00
Kabuye Village,Kabuye Village,Kabuye Village,Kabuye Cell,Kabuye,6,01-01-00
Karizinge Village,Karizinge Village,Karizinge Village,Kabuye Cell,Karizinge,6,01-01-00
Rwagasiga Village,Rwagasiga Village,Rwagasiga Village,Kabuye Cell,Rwagasiga,6,01-01-00
Rweteto Village,Rweteto Village,Rweteto Village,Kabuye Cell,Rweteto,6,01-01-00
Kagomasi Cell,Kagomasi Cell,Kagomasi Cell,Gashora Sector,Kagomasi,5,01-01-00
Akagako Village,Akagako Village,Akagako Village,Kagomasi Cell,Akagako,6,01-01-00
Kagomasi Village,Kagomasi Village,Kagomasi Village,Kagomasi Cell,Kagomasi,6,01-01-00
Kiruhura Village,Kiruhura Village,Kiruhura Village,Kagomasi Cell,Kiruhura,6,01-01-00
Kuruganda Village,Kuruganda Village,Kuruganda Village,Kagomasi Cell,Kuruganda,6,01-01-00
Runzenze Village,Runzenze Village,Runzenze Village,Kagomasi Cell,Runzenze,6,01-01-00
Rushubi Village,Rushubi Village,Rushubi Village,Kagomasi Cell,Rushubi,6,01-01-00
Mwendo Cell,Mwendo Cell,Mwendo Cell,Gashora Sector,Mwendo,5,01-01-00
Gaharwa Village,Gaharwa Village,Gaharwa Village,Mwendo Cell,Gaharwa,6,01-01-00
Gisenyi Village,Gisenyi Village,Gisenyi Village,Mwendo Cell,Gisenyi,6,01-01-00
Kayovu Village,Kayovu Village,Kayovu Village,Mwendo Cell,Kayovu,6,01-01-00
Ruhanga Village,Ruhanga Village,Ruhanga Village,Mwendo Cell,Ruhanga,6,01-01-00
Ruhanura Village,Ruhanura Village,Ruhanura Village,Mwendo Cell,Ruhanura,6,01-01-00
Rutanga Village,Rutanga Village,Rutanga Village,Mwendo Cell,Rutanga,6,01-01-00
Ramiro Cell,Ramiro Cell,Ramiro Cell,Gashora Sector,Ramiro,5,01-01-00
Dihiro Village,Dihiro Village,Dihiro Village,Ramiro Cell,Dihiro,6,01-01-00
Kagasa I Village,Kagasa I Village,Kagasa I Village,Ramiro Cell,Kagasa I,6,01-01-00
Kagasa II Village,Kagasa II Village,Kagasa II Village,Ramiro Cell,Kagasa II,6,01-01-00
Karusine I Village,Karusine I Village,Karusine I Village,Ramiro Cell,Karusine I,6,01-01-00
Karusine II Village,Karusine II Village,Karusine II Village,Ramiro Cell,Karusine II,6,01-01-00
Migina Village,Migina Village,Migina Village,Ramiro Cell,Migina,6,01-01-00
Munyinya Village,Munyinya Village,Munyinya Village,Ramiro Cell,Munyinya,6,01-01-00
Rweru I Village,Rweru I Village,Rweru I Village,Ramiro Cell,Rweru I,6,01-01-00
Rweru II Village,Rweru II Village,Rweru II Village,Ramiro Cell,Rweru II,6,01-01-00
Juru Sector,Juru Sector,Juru Sector,Bugesera District,Juru,4,01-01-00
Juru Cell,Juru Cell,Juru Cell,Juru Sector,Juru,5,01-01-00
Ayabakiza Village,Ayabakiza Village,Ayabakiza Village,Juru Cell,Ayabakiza,6,01-01-00
Bisagara Village,Bisagara Village,Bisagara Village,Juru Cell,Bisagara,6,01-01-00
Nyamigende Village,Nyamigende Village,Nyamigende Village,Juru Cell,Nyamigende,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Juru Cell,Rugarama,6,01-01-00
Rwamakara Village,Rwamakara Village,Rwamakara Village,Juru Cell,Rwamakara,6,01-01-00
Twabagarama Village,Twabagarama Village,Twabagarama Village,Juru Cell,Twabagarama,6,01-01-00
Kabukuba Cell,Kabukuba Cell,Kabukuba Cell,Juru Sector,Kabukuba,5,01-01-00
Gikana Village,Gikana Village,Gikana Village,Kabukuba Cell,Gikana,6,01-01-00
Gikurazo Village,Gikurazo Village,Gikurazo Village,Kabukuba Cell,Gikurazo,6,01-01-00
Kabukuba Village,Kabukuba Village,Kabukuba Village,Kabukuba Cell,Kabukuba,6,01-01-00
Kamatongo Village,Kamatongo Village,Kamatongo Village,Kabukuba Cell,Kamatongo,6,01-01-00
Majanja Village,Majanja Village,Majanja Village,Kabukuba Cell,Majanja,6,01-01-00
Mbuye Village,Mbuye Village,Mbuye Village,Kabukuba Cell,Mbuye,6,01-01-00
Rushubi Village,Rushubi Village,Rushubi Village,Kabukuba Cell,Rushubi,6,01-01-00
Mugorore Cell,Mugorore Cell,Mugorore Cell,Juru Sector,Mugorore,5,01-01-00
Cyirabo Village,Cyirabo Village,Cyirabo Village,Mugorore Cell,Cyirabo,6,01-01-00
Gatora Village,Gatora Village,Gatora Village,Mugorore Cell,Gatora,6,01-01-00
Kajevuba Village,Kajevuba Village,Kajevuba Village,Mugorore Cell,Kajevuba,6,01-01-00
Mugorore Village,Mugorore Village,Mugorore Village,Mugorore Cell,Mugorore,6,01-01-00
Murambi Village,Murambi Village,Murambi Village,Mugorore Cell,Murambi,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Mugorore Cell,Rebero,6,01-01-00
Rwamurama Village,Rwamurama Village,Rwamurama Village,Mugorore Cell,Rwamurama,6,01-01-00
Tabarari Village,Tabarari Village,Tabarari Village,Mugorore Cell,Tabarari,6,01-01-00
Musovu Cell,Musovu Cell,Musovu Cell,Juru Sector,Musovu,5,01-01-00
Bitega Village,Bitega Village,Bitega Village,Musovu Cell,Bitega,6,01-01-00
Cyabasonga Village,Cyabasonga Village,Cyabasonga Village,Musovu Cell,Cyabasonga,6,01-01-00
Cyingaju Village,Cyingaju Village,Cyingaju Village,Musovu Cell,Cyingaju,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Musovu Cell,Kabeza,6,01-01-00
Nyaruhuru Village,Nyaruhuru Village,Nyaruhuru Village,Musovu Cell,Nyaruhuru,6,01-01-00
Rwinume Cell,Rwinume Cell,Rwinume Cell,Juru Sector,Rwinume,5,01-01-00
Gisororo Village,Gisororo Village,Gisororo Village,Rwinume Cell,Gisororo,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Rwinume Cell,Kabeza,6,01-01-00
Katarara Village,Katarara Village,Katarara Village,Rwinume Cell,Katarara,6,01-01-00
Kinihira Village,Kinihira Village,Kinihira Village,Rwinume Cell,Kinihira,6,01-01-00
Rwimpyisi Village,Rwimpyisi Village,Rwimpyisi Village,Rwinume Cell,Rwimpyisi,6,01-01-00
Uwimpunga Village,Uwimpunga Village,Uwimpunga Village,Rwinume Cell,Uwimpunga,6,01-01-00
Kamabuye Sector,Kamabuye Sector,Kamabuye Sector,Bugesera District,Kamabuye,4,01-01-00
Biharagu Cell,Biharagu Cell,Biharagu Cell,Kamabuye Sector,Biharagu,5,01-01-00
Akanigo Village,Akanigo Village,Akanigo Village,Biharagu Cell,Akanigo,6,01-01-00
Biharagu Village,Biharagu Village,Biharagu Village,Biharagu Cell,Biharagu,6,01-01-00
Kanyonyera Village,Kanyonyera Village,Kanyonyera Village,Biharagu Cell,Kanyonyera,6,01-01-00
Munazi Village,Munazi Village,Munazi Village,Biharagu Cell,Munazi,6,01-01-00
Muyigi Village,Muyigi Village,Muyigi Village,Biharagu Cell,Muyigi,6,01-01-00
Nyarurama Village,Nyarurama Village,Nyarurama Village,Biharagu Cell,Nyarurama,6,01-01-00
Rubugu Village,Rubugu Village,Rubugu Village,Biharagu Cell,Rubugu,6,01-01-00
Burenge Cell,Burenge Cell,Burenge Cell,Kamabuye Sector,Burenge,5,01-01-00
Akabazeyi Village,Akabazeyi Village,Akabazeyi Village,Burenge Cell,Akabazeyi,6,01-01-00
Kagenge Village,Kagenge Village,Kagenge Village,Burenge Cell,Kagenge,6,01-01-00
Murambo Village,Murambo Village,Murambo Village,Burenge Cell,Murambo,6,01-01-00
Nyabyondo Village,Nyabyondo Village,Nyabyondo Village,Burenge Cell,Nyabyondo,6,01-01-00
Nyakariba Village,Nyakariba Village,Nyakariba Village,Burenge Cell,Nyakariba,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Burenge Cell,Rebero,6,01-01-00
Senga Village,Senga Village,Senga Village,Burenge Cell,Senga,6,01-01-00
Kampeka Cell,Kampeka Cell,Kampeka Cell,Kamabuye Sector,Kampeka,5,01-01-00
Byimana Village,Byimana Village,Byimana Village,Kampeka Cell,Byimana,6,01-01-00
Kampeka Village,Kampeka Village,Kampeka Village,Kampeka Cell,Kampeka,6,01-01-00
Mabuye Village,Mabuye Village,Mabuye Village,Kampeka Cell,Mabuye,6,01-01-00
Masangano Village,Masangano Village,Masangano Village,Kampeka Cell,Masangano,6,01-01-00
Mbuganzeri Village,Mbuganzeri Village,Mbuganzeri Village,Kampeka Cell,Mbuganzeri,6,01-01-00
Mparo Village,Mparo Village,Mparo Village,Kampeka Cell,Mparo,6,01-01-00
Ndama Village,Ndama Village,Ndama Village,Kampeka Cell,Ndama,6,01-01-00
Pamba I Village,Pamba I Village,Pamba I Village,Kampeka Cell,Pamba I,6,01-01-00
Pamba II Village,Pamba II Village,Pamba II Village,Kampeka Cell,Pamba II,6,01-01-00
Nyakayaga Cell,Nyakayaga Cell,Nyakayaga Cell,Kamabuye Sector,Nyakayaga,5,01-01-00
Akaje Village,Akaje Village,Akaje Village,Nyakayaga Cell,Akaje,6,01-01-00
Fatinkanda Village,Fatinkanda Village,Fatinkanda Village,Nyakayaga Cell,Fatinkanda,6,01-01-00
Murago Village,Murago Village,Murago Village,Nyakayaga Cell,Murago,6,01-01-00
Murambi Village,Murambi Village,Murambi Village,Nyakayaga Cell,Murambi,6,01-01-00
Ntungamo I Village,Ntungamo I Village,Ntungamo I Village,Nyakayaga Cell,Ntungamo I,6,01-01-00
Ntungamo II Village,Ntungamo II Village,Ntungamo II Village,Nyakayaga Cell,Ntungamo II,6,01-01-00
Nyakayaga Village,Nyakayaga Village,Nyakayaga Village,Nyakayaga Cell,Nyakayaga,6,01-01-00
Tunda Cell,Tunda Cell,Tunda Cell,Kamabuye Sector,Tunda,5,01-01-00
Cyogamuyaga Village,Cyogamuyaga Village,Cyogamuyaga Village,Tunda Cell,Cyogamuyaga,6,01-01-00
Mububa I Village,Mububa I Village,Mububa I Village,Tunda Cell,Mububa I,6,01-01-00
Mububaya II Village,Mububaya II Village,Mububaya II Village,Tunda Cell,Mububaya II,6,01-01-00
Rubirizi Village,Rubirizi Village,Rubirizi Village,Tunda Cell,Rubirizi,6,01-01-00
Rusibya Village,Rusibya Village,Rusibya Village,Tunda Cell,Rusibya,6,01-01-00
Tunda Village,Tunda Village,Tunda Village,Tunda Cell,Tunda,6,01-01-00
Twuruziramire Village,Twuruziramire Village,Twuruziramire Village,Tunda Cell,Twuruziramire,6,01-01-00
Uwibiraro I Village,Uwibiraro I Village,Uwibiraro I Village,Tunda Cell,Uwibiraro I,6,01-01-00
Uwibiraro II Village,Uwibiraro II Village,Uwibiraro II Village,Tunda Cell,Uwibiraro II,6,01-01-00
Uwumusave Village,Uwumusave Village,Uwumusave Village,Tunda Cell,Uwumusave,6,01-01-00
Mareba Sector,Mareba Sector,Mareba Sector,Bugesera District,Mareba,4,01-01-00
Bushenyi Cell,Bushenyi Cell,Bushenyi Cell,Mareba Sector,Bushenyi,5,01-01-00
Bigaga Village,Bigaga Village,Bigaga Village,Bushenyi Cell,Bigaga,6,01-01-00
Bukumba Village,Bukumba Village,Bukumba Village,Bushenyi Cell,Bukumba,6,01-01-00
Cyantwari Village,Cyantwari Village,Cyantwari Village,Bushenyi Cell,Cyantwari,6,01-01-00
Gasagara Village,Gasagara Village,Gasagara Village,Bushenyi Cell,Gasagara,6,01-01-00
Gitega Village,Gitega Village,Gitega Village,Bushenyi Cell,Gitega,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Bushenyi Cell,Kabeza,6,01-01-00
Kagese Village,Kagese Village,Kagese Village,Bushenyi Cell,Kagese,6,01-01-00
Kagogo Village,Kagogo Village,Kagogo Village,Bushenyi Cell,Kagogo,6,01-01-00
Kamasonga Village,Kamasonga Village,Kamasonga Village,Bushenyi Cell,Kamasonga,6,01-01-00
Mareba Village,Mareba Village,Mareba Village,Bushenyi Cell,Mareba,6,01-01-00
Muyange Village,Muyange Village,Muyange Village,Bushenyi Cell,Muyange,6,01-01-00
Rukoyoyo Village,Rukoyoyo Village,Rukoyoyo Village,Bushenyi Cell,Rukoyoyo,6,01-01-00
Runyonza Village,Runyonza Village,Runyonza Village,Bushenyi Cell,Runyonza,6,01-01-00
Rususa Village,Rususa Village,Rususa Village,Bushenyi Cell,Rususa,6,01-01-00
Gakomeye Cell,Gakomeye Cell,Gakomeye Cell,Mareba Sector,Gakomeye,5,01-01-00
Gatanga Village,Gatanga Village,Gatanga Village,Gakomeye Cell,Gatanga,6,01-01-00
Gitwa Village,Gitwa Village,Gitwa Village,Gakomeye Cell,Gitwa,6,01-01-00
Kabere Village,Kabere Village,Kabere Village,Gakomeye Cell,Kabere,6,01-01-00
Kajevuba Village,Kajevuba Village,Kajevuba Village,Gakomeye Cell,Kajevuba,6,01-01-00
Kamudeberi Village,Kamudeberi Village,Kamudeberi Village,Gakomeye Cell,Kamudeberi,6,01-01-00
Kamunana Village,Kamunana Village,Kamunana Village,Gakomeye Cell,Kamunana,6,01-01-00
Kanka Village,Kanka Village,Kanka Village,Gakomeye Cell,Kanka,6,01-01-00
Kaziranyenzi Village,Kaziranyenzi Village,Kaziranyenzi Village,Gakomeye Cell,Kaziranyenzi,6,01-01-00
Rwintare Village,Rwintare Village,Rwintare Village,Gakomeye Cell,Rwintare,6,01-01-00
Nyamigina Cell,Nyamigina Cell,Nyamigina Cell,Mareba Sector,Nyamigina,5,01-01-00
Gafunzo Village,Gafunzo Village,Gafunzo Village,Nyamigina Cell,Gafunzo,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Nyamigina Cell,Kabeza,6,01-01-00
Kabingo Village,Kabingo Village,Kabingo Village,Nyamigina Cell,Kabingo,6,01-01-00
Kabuye Village,Kabuye Village,Kabuye Village,Nyamigina Cell,Kabuye,6,01-01-00
Karwana Village,Karwana Village,Karwana Village,Nyamigina Cell,Karwana,6,01-01-00
Ngugu Village,Ngugu Village,Ngugu Village,Nyamigina Cell,Ngugu,6,01-01-00
Nyamigisha Village,Nyamigisha Village,Nyamigisha Village,Nyamigina Cell,Nyamigisha,6,01-01-00
Ruhina Village,Ruhina Village,Ruhina Village,Nyamigina Cell,Ruhina,6,01-01-00
Rusenyi Village,Rusenyi Village,Rusenyi Village,Nyamigina Cell,Rusenyi,6,01-01-00
Ruyenzi Village,Ruyenzi Village,Ruyenzi Village,Nyamigina Cell,Ruyenzi,6,01-01-00
Rango Cell,Rango Cell,Rango Cell,Mareba Sector,Rango,5,01-01-00
Gatare Village,Gatare Village,Gatare Village,Rango Cell,Gatare,6,01-01-00
Gatinza Village,Gatinza Village,Gatinza Village,Rango Cell,Gatinza,6,01-01-00
Gihoko Village,Gihoko Village,Gihoko Village,Rango Cell,Gihoko,6,01-01-00
Kabuga Village,Kabuga Village,Kabuga Village,Rango Cell,Kabuga,6,01-01-00
Kagarama Village,Kagarama Village,Kagarama Village,Rango Cell,Kagarama,6,01-01-00
Matinza Village,Matinza Village,Matinza Village,Rango Cell,Matinza,6,01-01-00
Mbuga Village,Mbuga Village,Mbuga Village,Rango Cell,Mbuga,6,01-01-00
Rango Village,Rango Village,Rango Village,Rango Cell,Rango,6,01-01-00
Rusagara Village,Rusagara Village,Rusagara Village,Rango Cell,Rusagara,6,01-01-00
Rwabikwano Village,Rwabikwano Village,Rwabikwano Village,Rango Cell,Rwabikwano,6,01-01-00
Rugarama Cell,Rugarama Cell,Rugarama Cell,Mareba Sector,Rugarama,5,01-01-00
Gasagara Village,Gasagara Village,Gasagara Village,Rugarama Cell,Gasagara,6,01-01-00
Gatare Village,Gatare Village,Gatare Village,Rugarama Cell,Gatare,6,01-01-00
Kayonza Village,Kayonza Village,Kayonza Village,Rugarama Cell,Kayonza,6,01-01-00
Keza Village,Keza Village,Keza Village,Rugarama Cell,Keza,6,01-01-00
Kururama Village,Kururama Village,Kururama Village,Rugarama Cell,Kururama,6,01-01-00
Muyenzi Village,Muyenzi Village,Muyenzi Village,Rugarama Cell,Muyenzi,6,01-01-00
Ruduha Village,Ruduha Village,Ruduha Village,Rugarama Cell,Ruduha,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Rugarama Cell,Rugarama,6,01-01-00
Rutaka Village,Rutaka Village,Rutaka Village,Rugarama Cell,Rutaka,6,01-01-00
Mayange Sector,Mayange Sector,Mayange Sector,Bugesera District,Mayange,4,01-01-00
Gakamba Cell,Gakamba Cell,Gakamba Cell,Mayange Sector,Gakamba,5,01-01-00
Gacucu Village,Gacucu Village,Gacucu Village,Gakamba Cell,Gacucu,6,01-01-00
Gakamba Village,Gakamba Village,Gakamba Village,Gakamba Cell,Gakamba,6,01-01-00
Gisenyi Village,Gisenyi Village,Gisenyi Village,Gakamba Cell,Gisenyi,6,01-01-00
Kamugenzi Village,Kamugenzi Village,Kamugenzi Village,Gakamba Cell,Kamugenzi,6,01-01-00
Karambo Village,Karambo Village,Karambo Village,Gakamba Cell,Karambo,6,01-01-00
Kavumu Village,Kavumu Village,Kavumu Village,Gakamba Cell,Kavumu,6,01-01-00
Rukora Village,Rukora Village,Rukora Village,Gakamba Cell,Rukora,6,01-01-00
Kagenge Cell,Kagenge Cell,Kagenge Cell,Mayange Sector,Kagenge,5,01-01-00
Biryogo Village,Biryogo Village,Biryogo Village,Kagenge Cell,Biryogo,6,01-01-00
Gakindo Village,Gakindo Village,Gakindo Village,Kagenge Cell,Gakindo,6,01-01-00
Gitaramuka Village,Gitaramuka Village,Gitaramuka Village,Kagenge Cell,Gitaramuka,6,01-01-00
Karama Village,Karama Village,Karama Village,Kagenge Cell,Karama,6,01-01-00
Kiruhura Village,Kiruhura Village,Kiruhura Village,Kagenge Cell,Kiruhura,6,01-01-00
Remera Village,Remera Village,Remera Village,Kagenge Cell,Remera,6,01-01-00
Rukindo Village,Rukindo Village,Rukindo Village,Kagenge Cell,Rukindo,6,01-01-00
Taba Village,Taba Village,Taba Village,Kagenge Cell,Taba,6,01-01-00
Tetero Village,Tetero Village,Tetero Village,Kagenge Cell,Tetero,6,01-01-00
Kibenga Cell,Kibenga Cell,Kibenga Cell,Mayange Sector,Kibenga,5,01-01-00
Gahwiji I Village,Gahwiji I Village,Gahwiji I Village,Kibenga Cell,Gahwiji I,6,01-01-00
Gahwiji II Village,Gahwiji II Village,Gahwiji II Village,Kibenga Cell,Gahwiji II,6,01-01-00
Kindonyi Village,Kindonyi Village,Kindonyi Village,Kibenga Cell,Kindonyi,6,01-01-00
Murambi Village,Murambi Village,Murambi Village,Kibenga Cell,Murambi,6,01-01-00
Ruhorobero Village,Ruhorobero Village,Ruhorobero Village,Kibenga Cell,Ruhorobero,6,01-01-00
Rwakaramira Village,Rwakaramira Village,Rwakaramira Village,Kibenga Cell,Rwakaramira,6,01-01-00
Rwarusaku Village,Rwarusaku Village,Rwarusaku Village,Kibenga Cell,Rwarusaku,6,01-01-00
Kibirizi Cell,Kibirizi Cell,Kibirizi Cell,Mayange Sector,Kibirizi,5,01-01-00
Gacyamo Village,Gacyamo Village,Gacyamo Village,Kibirizi Cell,Gacyamo,6,01-01-00
Gahinga Village,Gahinga Village,Gahinga Village,Kibirizi Cell,Gahinga,6,01-01-00
Gisenyi Village,Gisenyi Village,Gisenyi Village,Kibirizi Cell,Gisenyi,6,01-01-00
Gitera Village,Gitera Village,Gitera Village,Kibirizi Cell,Gitera,6,01-01-00
Kibirizi Village,Kibirizi Village,Kibirizi Village,Kibirizi Cell,Kibirizi,6,01-01-00
Rugazi Village,Rugazi Village,Rugazi Village,Kibirizi Cell,Rugazi,6,01-01-00
Rwakibirizi Village,Rwakibirizi Village,Rwakibirizi Village,Kibirizi Cell,Rwakibirizi,6,01-01-00
Mbyo Cell,Mbyo Cell,Mbyo Cell,Mayange Sector,Mbyo,5,01-01-00
Cyaruhiririra Village,Cyaruhiririra Village,Cyaruhiririra Village,Mbyo Cell,Cyaruhiririra,6,01-01-00
Kabyo Village,Kabyo Village,Kabyo Village,Mbyo Cell,Kabyo,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Mbyo Cell,Rugarama,6,01-01-00
Rwimikoni I Village,Rwimikoni I Village,Rwimikoni I Village,Mbyo Cell,Rwimikoni I,6,01-01-00
Rwimikoni II Village,Rwimikoni II Village,Rwimikoni II Village,Mbyo Cell,Rwimikoni II,6,01-01-00
Musenyi Sector,Musenyi Sector,Musenyi Sector,Bugesera District,Musenyi,4,01-01-00
Gicaca Cell,Gicaca Cell,Gicaca Cell,Musenyi Sector,Gicaca,5,01-01-00
Bidudu Village,Bidudu Village,Bidudu Village,Gicaca Cell,Bidudu,6,01-01-00
Cyanika Village,Cyanika Village,Cyanika Village,Gicaca Cell,Cyanika,6,01-01-00
Cyarubazi Village,Cyarubazi Village,Cyarubazi Village,Gicaca Cell,Cyarubazi,6,01-01-00
Gatare Village,Gatare Village,Gatare Village,Gicaca Cell,Gatare,6,01-01-00
Gihari Village,Gihari Village,Gihari Village,Gicaca Cell,Gihari,6,01-01-00
Kagusa Village,Kagusa Village,Kagusa Village,Gicaca Cell,Kagusa,6,01-01-00
Kamahango Village,Kamahango Village,Kamahango Village,Gicaca Cell,Kamahango,6,01-01-00
Kavumu Village,Kavumu Village,Kavumu Village,Gicaca Cell,Kavumu,6,01-01-00
Kidudu Village,Kidudu Village,Kidudu Village,Gicaca Cell,Kidudu,6,01-01-00
Migina Village,Migina Village,Migina Village,Gicaca Cell,Migina,6,01-01-00
Ngarama Village,Ngarama Village,Ngarama Village,Gicaca Cell,Ngarama,6,01-01-00
Remera Village,Remera Village,Remera Village,Gicaca Cell,Remera,6,01-01-00
Rusagara Village,Rusagara Village,Rusagara Village,Gicaca Cell,Rusagara,6,01-01-00
Musenyi Cell,Musenyi Cell,Musenyi Cell,Musenyi Sector,Musenyi,5,01-01-00
Bidudu Village,Bidudu Village,Bidudu Village,Musenyi Cell,Bidudu,6,01-01-00
Bishinge Village,Bishinge Village,Bishinge Village,Musenyi Cell,Bishinge,6,01-01-00
Bizenga Village,Bizenga Village,Bizenga Village,Musenyi Cell,Bizenga,6,01-01-00
Cyeru Village,Cyeru Village,Cyeru Village,Musenyi Cell,Cyeru,6,01-01-00
Gakomeye Village,Gakomeye Village,Gakomeye Village,Musenyi Cell,Gakomeye,6,01-01-00
Gakurazo Village,Gakurazo Village,Gakurazo Village,Musenyi Cell,Gakurazo,6,01-01-00
Kigarama Village,Kigarama Village,Kigarama Village,Musenyi Cell,Kigarama,6,01-01-00
Kijuri Village,Kijuri Village,Kijuri Village,Musenyi Cell,Kijuri,6,01-01-00
Kiringa Village,Kiringa Village,Kiringa Village,Musenyi Cell,Kiringa,6,01-01-00
Muhanga Village,Muhanga Village,Muhanga Village,Musenyi Cell,Muhanga,6,01-01-00
Nunga Village,Nunga Village,Nunga Village,Musenyi Cell,Nunga,6,01-01-00
Nyagasagara Village,Nyagasagara Village,Nyagasagara Village,Musenyi Cell,Nyagasagara,6,01-01-00
Rugando Village,Rugando Village,Rugando Village,Musenyi Cell,Rugando,6,01-01-00
Rugeyo Village,Rugeyo Village,Rugeyo Village,Musenyi Cell,Rugeyo,6,01-01-00
Nyagihunika Cell,Nyagihunika Cell,Nyagihunika Cell,Musenyi Sector,Nyagihunika,5,01-01-00
Gatoki Village,Gatoki Village,Gatoki Village,Nyagihunika Cell,Gatoki,6,01-01-00
Gitagata Village,Gitagata Village,Gitagata Village,Nyagihunika Cell,Gitagata,6,01-01-00
Kigusa Village,Kigusa Village,Kigusa Village,Nyagihunika Cell,Kigusa,6,01-01-00
Kiruhura Village,Kiruhura Village,Kiruhura Village,Nyagihunika Cell,Kiruhura,6,01-01-00
Mbonwa Village,Mbonwa Village,Mbonwa Village,Nyagihunika Cell,Mbonwa,6,01-01-00
Nyakajuri Village,Nyakajuri Village,Nyakajuri Village,Nyagihunika Cell,Nyakajuri,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Nyagihunika Cell,Rugarama,6,01-01-00
Rushubi Village,Rushubi Village,Rushubi Village,Nyagihunika Cell,Rushubi,6,01-01-00
Rwankeri Village,Rwankeri Village,Rwankeri Village,Nyagihunika Cell,Rwankeri,6,01-01-00
Rulindo Cell,Rulindo Cell,Rulindo Cell,Musenyi Sector,Rulindo,5,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Rulindo Cell,Kabeza,6,01-01-00
Kabuye Village,Kabuye Village,Kabuye Village,Rulindo Cell,Kabuye,6,01-01-00
Kagunga Village,Kagunga Village,Kagunga Village,Rulindo Cell,Kagunga,6,01-01-00
Kanyamata Village,Kanyamata Village,Kanyamata Village,Rulindo Cell,Kanyamata,6,01-01-00
Karambo Village,Karambo Village,Karambo Village,Rulindo Cell,Karambo,6,01-01-00
Karubanzangabo Village,Karubanzangabo Village,Karubanzangabo Village,Rulindo Cell,Karubanzangabo,6,01-01-00
Kinyovi Village,Kinyovi Village,Kinyovi Village,Rulindo Cell,Kinyovi,6,01-01-00
Nyamuri Village,Nyamuri Village,Nyamuri Village,Rulindo Cell,Nyamuri,6,01-01-00
Rulindo Village,Rulindo Village,Rulindo Village,Rulindo Cell,Rulindo,6,01-01-00
Runyonza Village,Runyonza Village,Runyonza Village,Rulindo Cell,Runyonza,6,01-01-00
Mwogo Sector,Mwogo Sector,Mwogo Sector,Bugesera District,Mwogo,4,01-01-00
Bitaba Cell,Bitaba Cell,Bitaba Cell,Mwogo Sector,Bitaba,5,01-01-00
Bitaba Village,Bitaba Village,Bitaba Village,Bitaba Cell,Bitaba,6,01-01-00
Gatwe Village,Gatwe Village,Gatwe Village,Bitaba Cell,Gatwe,6,01-01-00
Gisasa Village,Gisasa Village,Gisasa Village,Bitaba Cell,Gisasa,6,01-01-00
Misatsi Village,Misatsi Village,Misatsi Village,Bitaba Cell,Misatsi,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Bitaba Cell,Rebero,6,01-01-00
Rukoronko Village,Rukoronko Village,Rukoronko Village,Bitaba Cell,Rukoronko,6,01-01-00
Kagasa Cell,Kagasa Cell,Kagasa Cell,Mwogo Sector,Kagasa,5,01-01-00
Gatare Village,Gatare Village,Gatare Village,Kagasa Cell,Gatare,6,01-01-00
