name,uid,code,parent,shortName,level,openingDate
Burinda Cell,Burinda Cell,Burinda Cell,Rubavu Sector,Burinda,5,01-01-00
Akasengore Village,Akasengore Village,Akasengore Village,Burinda Cell,Akasengore,6,01-01-00
Bubaji Village,Bubaji Village,Bubaji Village,Burinda Cell,Bubaji,6,01-01-00
Gasenyi Village,Gasenyi Village,Gasenyi Village,Burinda Cell,Gasenyi,6,01-01-00
Nyabantu Village,Nyabantu Village,Nyabantu Village,Burinda Cell,Nyabantu,6,01-01-00
Nyamwinshi Village,Nyamwinshi Village,Nyamwinshi Village,Burinda Cell,Nyamwinshi,6,01-01-00
Rwezamenyo Village,Rwezamenyo Village,Rwezamenyo Village,Burinda Cell,Rwezamenyo,6,01-01-00
Byahi Cell,Byahi Cell,Byahi Cell,Rubavu Sector,Byahi,5,01-01-00
Buhuru Village,Buhuru Village,Buhuru Village,Byahi Cell,Buhuru,6,01-01-00
Isangano Village,Isangano Village,Isangano Village,Byahi Cell,Isangano,6,01-01-00
Mikingo Village,Mikingo Village,Mikingo Village,Byahi Cell,Mikingo,6,01-01-00
Ngugo Village,Ngugo Village,Ngugo Village,Byahi Cell,Ngugo,6,01-01-00
Rurembo Village,Rurembo Village,Rurembo Village,Byahi Cell,Rurembo,6,01-01-00
Gikombe Cell,Gikombe Cell,Gikombe Cell,Rubavu Sector,Gikombe,5,01-01-00
Bambiro Village,Bambiro Village,Bambiro Village,Gikombe Cell,Bambiro,6,01-01-00
Bushengo I Village,Bushengo I Village,Bushengo I Village,Gikombe Cell,Bushengo I,6,01-01-00
Gafuku Village,Gafuku Village,Gafuku Village,Gikombe Cell,Gafuku,6,01-01-00
Mubuga Village,Mubuga Village,Mubuga Village,Gikombe Cell,Mubuga,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Gikombe Cell,Rebero,6,01-01-00
Murambi Cell,Murambi Cell,Murambi Cell,Rubavu Sector,Murambi,5,01-01-00
Bushengo Village,Bushengo Village,Bushengo Village,Murambi Cell,Bushengo,6,01-01-00
Buzuta Village,Buzuta Village,Buzuta Village,Murambi Cell,Buzuta,6,01-01-00
Bwiru Village,Bwiru Village,Bwiru Village,Murambi Cell,Bwiru,6,01-01-00
Kabere II Village,Kabere II Village,Kabere II Village,Murambi Cell,Kabere II,6,01-01-00
Ruvumbu Village,Ruvumbu Village,Ruvumbu Village,Murambi Cell,Ruvumbu,6,01-01-00
Rwangara Village,Rwangara Village,Rwangara Village,Murambi Cell,Rwangara,6,01-01-00
Murara Cell,Murara Cell,Murara Cell,Rubavu Sector,Murara,5,01-01-00
Bugesera Village,Bugesera Village,Bugesera Village,Murara Cell,Bugesera,6,01-01-00
Gahinga Village,Gahinga Village,Gahinga Village,Murara Cell,Gahinga,6,01-01-00
Gasayo Village,Gasayo Village,Gasayo Village,Murara Cell,Gasayo,6,01-01-00
Kabere Village,Kabere Village,Kabere Village,Murara Cell,Kabere,6,01-01-00
Kiroji Village,Kiroji Village,Kiroji Village,Murara Cell,Kiroji,6,01-01-00
Rukoko Cell,Rukoko Cell,Rukoko Cell,Rubavu Sector,Rukoko,5,01-01-00
Bisizi Village,Bisizi Village,Bisizi Village,Rukoko Cell,Bisizi,6,01-01-00
Isangano Village,Isangano Village,Isangano Village,Rukoko Cell,Isangano,6,01-01-00
Karukogo Village,Karukogo Village,Karukogo Village,Rukoko Cell,Karukogo,6,01-01-00
Kitarimwa Village,Kitarimwa Village,Kitarimwa Village,Rukoko Cell,Kitarimwa,6,01-01-00
Rutagara Village,Rutagara Village,Rutagara Village,Rukoko Cell,Rutagara,6,01-01-00
Rugerero Sector,Rugerero Sector,Rugerero Sector,Rubavu District,Rugerero,4,01-01-00
Basa Cell,Basa Cell,Basa Cell,Rugerero Sector,Basa,5,01-01-00
Buranga Village,Buranga Village,Buranga Village,Basa Cell,Buranga,6,01-01-00
Gahinga Village,Gahinga Village,Gahinga Village,Basa Cell,Gahinga,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Basa Cell,Kabeza,6,01-01-00
Kanyukiro Village,Kanyukiro Village,Kanyukiro Village,Basa Cell,Kanyukiro,6,01-01-00
Mukumya Village,Mukumya Village,Mukumya Village,Basa Cell,Mukumya,6,01-01-00
Nyaruhengeri Village,Nyaruhengeri Village,Nyaruhengeri Village,Basa Cell,Nyaruhengeri,6,01-01-00
Tagaza Village,Tagaza Village,Tagaza Village,Basa Cell,Tagaza,6,01-01-00
Gisa Cell,Gisa Cell,Gisa Cell,Rugerero Sector,Gisa,5,01-01-00
Gatangare Village,Gatangare Village,Gatangare Village,Gisa Cell,Gatangare,6,01-01-00
Gihira Village,Gihira Village,Gihira Village,Gisa Cell,Gihira,6,01-01-00
Gisa Village,Gisa Village,Gisa Village,Gisa Cell,Gisa,6,01-01-00
Kabashanja Village,Kabashanja Village,Kabashanja Village,Gisa Cell,Kabashanja,6,01-01-00
Kaniga Village,Kaniga Village,Kaniga Village,Gisa Cell,Kaniga,6,01-01-00
Ndobogo Village,Ndobogo Village,Ndobogo Village,Gisa Cell,Ndobogo,6,01-01-00
Rusongati Village,Rusongati Village,Rusongati Village,Gisa Cell,Rusongati,6,01-01-00
Shwemu Village,Shwemu Village,Shwemu Village,Gisa Cell,Shwemu,6,01-01-00
Kabilizi Cell,Kabilizi Cell,Kabilizi Cell,Rugerero Sector,Kabilizi,5,01-01-00
Amahoro Village,Amahoro Village,Amahoro Village,Kabilizi Cell,Amahoro,6,01-01-00
Gakoro Village,Gakoro Village,Gakoro Village,Kabilizi Cell,Gakoro,6,01-01-00
Nkama Village,Nkama Village,Nkama Village,Kabilizi Cell,Nkama,6,01-01-00
Nyamyiri Village,Nyamyiri Village,Nyamyiri Village,Kabilizi Cell,Nyamyiri,6,01-01-00
Ruhangiro Village,Ruhangiro Village,Ruhangiro Village,Kabilizi Cell,Ruhangiro,6,01-01-00
Rukukumbo Village,Rukukumbo Village,Rukukumbo Village,Kabilizi Cell,Rukukumbo,6,01-01-00
Muhira Cell,Muhira Cell,Muhira Cell,Rugerero Sector,Muhira,5,01-01-00
Gatebe I Village,Gatebe I Village,Gatebe I Village,Muhira Cell,Gatebe I,6,01-01-00
Gatebe II Village,Gatebe II Village,Gatebe II Village,Muhira Cell,Gatebe II,6,01-01-00
Gitebe I Village,Gitebe I Village,Gitebe I Village,Muhira Cell,Gitebe I,6,01-01-00
Gitebe II Village,Gitebe II Village,Gitebe II Village,Muhira Cell,Gitebe II,6,01-01-00
Kasonga Village,Kasonga Village,Kasonga Village,Muhira Cell,Kasonga,6,01-01-00
Kizi Village,Kizi Village,Kizi Village,Muhira Cell,Kizi,6,01-01-00
Rusamaza Village,Rusamaza Village,Rusamaza Village,Muhira Cell,Rusamaza,6,01-01-00
Rugerero Cell,Rugerero Cell,Rugerero Cell,Rugerero Sector,Rugerero,5,01-01-00
Kabarora Village,Kabarora Village,Kabarora Village,Rugerero Cell,Kabarora,6,01-01-00
Kibaya Village,Kibaya Village,Kibaya Village,Rugerero Cell,Kibaya,6,01-01-00
Nyantomvu Village,Nyantomvu Village,Nyantomvu Village,Rugerero Cell,Nyantomvu,6,01-01-00
Nyarurembo Village,Nyarurembo Village,Nyarurembo Village,Rugerero Cell,Nyarurembo,6,01-01-00
Rukingo Village,Rukingo Village,Rukingo Village,Rugerero Cell,Rukingo,6,01-01-00
Ruranga Village,Ruranga Village,Ruranga Village,Rugerero Cell,Ruranga,6,01-01-00
Rushubi Cell,Rushubi Cell,Rushubi Cell,Rugerero Sector,Rushubi,5,01-01-00
Busheke Village,Busheke Village,Busheke Village,Rushubi Cell,Busheke,6,01-01-00
Butangi Village,Butangi Village,Butangi Village,Rushubi Cell,Butangi,6,01-01-00
Butumba Village,Butumba Village,Butumba Village,Rushubi Cell,Butumba,6,01-01-00
Kabashara Village,Kabashara Village,Kabashara Village,Rushubi Cell,Kabashara,6,01-01-00
Kazika Village,Kazika Village,Kazika Village,Rushubi Cell,Kazika,6,01-01-00
Kimina Village,Kimina Village,Kimina Village,Rushubi Cell,Kimina,6,01-01-00
Muhingo Village,Muhingo Village,Muhingo Village,Rushubi Cell,Muhingo,6,01-01-00
Rwaza Cell,Rwaza Cell,Rwaza Cell,Rugerero Sector,Rwaza,5,01-01-00
Byima Village,Byima Village,Byima Village,Rwaza Cell,Byima,6,01-01-00
Cyanika Village,Cyanika Village,Cyanika Village,Rwaza Cell,Cyanika,6,01-01-00
Gashovu Village,Gashovu Village,Gashovu Village,Rwaza Cell,Gashovu,6,01-01-00
Gateko Village,Gateko Village,Gateko Village,Rwaza Cell,Gateko,6,01-01-00
Kiroji Village,Kiroji Village,Kiroji Village,Rwaza Cell,Kiroji,6,01-01-00
Mushoko Village,Mushoko Village,Mushoko Village,Rwaza Cell,Mushoko,6,01-01-00
Rebero Village,Rebero Village,Rebero Village,Rwaza Cell,Rebero,6,01-01-00
Rohero Village,Rohero Village,Rohero Village,Rwaza Cell,Rohero,6,01-01-00
Rucyamo Village,Rucyamo Village,Rucyamo Village,Rwaza Cell,Rucyamo,6,01-01-00
Rwaza Village,Rwaza Village,Rwaza Village,Rwaza Cell,Rwaza,6,01-01-00
Rutsiro District,Rutsiro District,Rutsiro District,West Province,Rutsiro,3,01-01-00
Boneza Sector,Boneza Sector,Boneza Sector,Rutsiro District,Boneza,4,01-01-00
Bushaka Cell,Bushaka Cell,Bushaka Cell,Boneza Sector,Bushaka,5,01-01-00
Bikono Village,Bikono Village,Bikono Village,Bushaka Cell,Bikono,6,01-01-00
Bugarura Village,Bugarura Village,Bugarura Village,Bushaka Cell,Bugarura,6,01-01-00
Gaseke Village,Gaseke Village,Gaseke Village,Bushaka Cell,Gaseke,6,01-01-00
Kabirizi Village,Kabirizi Village,Kabirizi Village,Bushaka Cell,Kabirizi,6,01-01-00
Kinunu Village,Kinunu Village,Kinunu Village,Bushaka Cell,Kinunu,6,01-01-00
Muramba Village,Muramba Village,Muramba Village,Bushaka Cell,Muramba,6,01-01-00
Rutagara Village,Rutagara Village,Rutagara Village,Bushaka Cell,Rutagara,6,01-01-00
Rwimbogo Village,Rwimbogo Village,Rwimbogo Village,Bushaka Cell,Rwimbogo,6,01-01-00
Kabihogo Cell,Kabihogo Cell,Kabihogo Cell,Boneza Sector,Kabihogo,5,01-01-00
Buhonongo Village,Buhonongo Village,Buhonongo Village,Kabihogo Cell,Buhonongo,6,01-01-00
Bweramana Village,Bweramana Village,Bweramana Village,Kabihogo Cell,Bweramana,6,01-01-00
Gashoko Village,Gashoko Village,Gashoko Village,Kabihogo Cell,Gashoko,6,01-01-00
Kamuyaga Village,Kamuyaga Village,Kamuyaga Village,Kabihogo Cell,Kamuyaga,6,01-01-00
Rugamba Village,Rugamba Village,Rugamba Village,Kabihogo Cell,Rugamba,6,01-01-00
Rwabisururu Village,Rwabisururu Village,Rwabisururu Village,Kabihogo Cell,Rwabisururu,6,01-01-00
Nkira Cell,Nkira Cell,Nkira Cell,Boneza Sector,Nkira,5,01-01-00
Gisiza Village,Gisiza Village,Gisiza Village,Nkira Cell,Gisiza,6,01-01-00
Gisoro Village,Gisoro Village,Gisoro Village,Nkira Cell,Gisoro,6,01-01-00
Kabuga Village,Kabuga Village,Kabuga Village,Nkira Cell,Kabuga,6,01-01-00
Karukamba Village,Karukamba Village,Karukamba Village,Nkira Cell,Karukamba,6,01-01-00
Kigarama Village,Kigarama Village,Kigarama Village,Nkira Cell,Kigarama,6,01-01-00
Munanira Village,Munanira Village,Munanira Village,Nkira Cell,Munanira,6,01-01-00
Murambi Village,Murambi Village,Murambi Village,Nkira Cell,Murambi,6,01-01-00
Remera Cell,Remera Cell,Remera Cell,Boneza Sector,Remera,5,01-01-00
Bigabiro Village,Bigabiro Village,Bigabiro Village,Remera Cell,Bigabiro,6,01-01-00
Buhoro Village,Buhoro Village,Buhoro Village,Remera Cell,Buhoro,6,01-01-00
Kaganza Village,Kaganza Village,Kaganza Village,Remera Cell,Kaganza,6,01-01-00
Kamuzigura Village,Kamuzigura Village,Kamuzigura Village,Remera Cell,Kamuzigura,6,01-01-00
Kinunga Village,Kinunga Village,Kinunga Village,Remera Cell,Kinunga,6,01-01-00
Muyange Village,Muyange Village,Muyange Village,Remera Cell,Muyange,6,01-01-00
Rusororo Village,Rusororo Village,Rusororo Village,Remera Cell,Rusororo,6,01-01-00
Gihango Sector,Gihango Sector,Gihango Sector,Rutsiro District,Gihango,4,01-01-00
Bugina Cell,Bugina Cell,Bugina Cell,Gihango Sector,Bugina,5,01-01-00
Gishushu Village,Gishushu Village,Gishushu Village,Bugina Cell,Gishushu,6,01-01-00
Gitarama Village,Gitarama Village,Gitarama Village,Bugina Cell,Gitarama,6,01-01-00
Kagarama Village,Kagarama Village,Kagarama Village,Bugina Cell,Kagarama,6,01-01-00
Karambi Village,Karambi Village,Karambi Village,Bugina Cell,Karambi,6,01-01-00
Congo-nil Cell,Congo-nil Cell,Congo-nil Cell,Gihango Sector,Congo-nil,5,01-01-00
Kandahura Village,Kandahura Village,Kandahura Village,Congo-nil Cell,Kandahura,6,01-01-00
Kindoyi Village,Kindoyi Village,Kindoyi Village,Congo-nil Cell,Kindoyi,6,01-01-00
Mukebera Village,Mukebera Village,Mukebera Village,Congo-nil Cell,Mukebera,6,01-01-00
Nduba Village,Nduba Village,Nduba Village,Congo-nil Cell,Nduba,6,01-01-00
Nkwiro Village,Nkwiro Village,Nkwiro Village,Congo-nil Cell,Nkwiro,6,01-01-00
Mataba Cell,Mataba Cell,Mataba Cell,Gihango Sector,Mataba,5,01-01-00
Butare Village,Butare Village,Butare Village,Mataba Cell,Butare,6,01-01-00
Kabeza Village,Kabeza Village,Kabeza Village,Mataba Cell,Kabeza,6,01-01-00
Kamutambiro Village,Kamutambiro Village,Kamutambiro Village,Mataba Cell,Kamutambiro,6,01-01-00
Muyange Village,Muyange Village,Muyange Village,Mataba Cell,Muyange,6,01-01-00
Nganzo Village,Nganzo Village,Nganzo Village,Mataba Cell,Nganzo,6,01-01-00
Terimbere Village,Terimbere Village,Terimbere Village,Mataba Cell,Terimbere,6,01-01-00
Murambi Cell,Murambi Cell,Murambi Cell,Gihango Sector,Murambi,5,01-01-00
Gashihe Village,Gashihe Village,Gashihe Village,Murambi Cell,Gashihe,6,01-01-00
Gatomvu Village,Gatomvu Village,Gatomvu Village,Murambi Cell,Gatomvu,6,01-01-00
Karugaju Village,Karugaju Village,Karugaju Village,Murambi Cell,Karugaju,6,01-01-00
Muhora Village,Muhora Village,Muhora Village,Murambi Cell,Muhora,6,01-01-00
Nyagahinga Village,Nyagahinga Village,Nyagahinga Village,Murambi Cell,Nyagahinga,6,01-01-00
Ruhingo Cell,Ruhingo Cell,Ruhingo Cell,Gihango Sector,Ruhingo,5,01-01-00
Gasharu Village,Gasharu Village,Gasharu Village,Ruhingo Cell,Gasharu,6,01-01-00
Kabuga Village,Kabuga Village,Kabuga Village,Ruhingo Cell,Kabuga,6,01-01-00
Nyagahinga Village,Nyagahinga Village,Nyagahinga Village,Ruhingo Cell,Nyagahinga,6,01-01-00
Shyembe Cell,Shyembe Cell,Shyembe Cell,Gihango Sector,Shyembe,5,01-01-00
Gisunzu Village,Gisunzu Village,Gisunzu Village,Shyembe Cell,Gisunzu,6,01-01-00
Karambo Village,Karambo Village,Karambo Village,Shyembe Cell,Karambo,6,01-01-00
Karongi Village,Karongi Village,Karongi Village,Shyembe Cell,Karongi,6,01-01-00
Rugote Village,Rugote Village,Rugote Village,Shyembe Cell,Rugote,6,01-01-00
Rwamiyaga Village,Rwamiyaga Village,Rwamiyaga Village,Shyembe Cell,Rwamiyaga,6,01-01-00
Shyembe Village,Shyembe Village,Shyembe Village,Shyembe Cell,Shyembe,6,01-01-00
Teba Cell,Teba Cell,Teba Cell,Gihango Sector,Teba,5,01-01-00
Bweramana Village,Bweramana Village,Bweramana Village,Teba Cell,Bweramana,6,01-01-00
Gasave Village,Gasave Village,Gasave Village,Teba Cell,Gasave,6,01-01-00
Gateja Village,Gateja Village,Gateja Village,Teba Cell,Gateja,6,01-01-00
Kanembwe Village,Kanembwe Village,Kanembwe Village,Teba Cell,Kanembwe,6,01-01-00
